names,link,price,link_image
"1 комната, Душевая кабина, Постельное белье, Кондиционер",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-kondicioner-id-102066658,1 500 KGS,https://img5.lalafo.com/i/posters/api/a9/16/1e/73a63be05ba689884611af4b3b.jpeg
"1 комната, Душевая кабина, Постельное белье, Кондиционер",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-kondicioner-id-71805040,1 500 KGS,https://img5.lalafo.com/i/posters/api/f0/de/3a/143182247315f86d8f22af907e.jpeg
"1 комната, Душевая кабина, Постельное белье, Кондиционер",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-kondicioner-id-71804196,2 000 KGS,https://img5.lalafo.com/i/posters/api/82/02/c6/6f4a2b6c87e080cebbe4128278.jpeg
"1 комната, Душевая кабина, Постельное белье, Кондиционер",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-kondicioner-id-98769006,2 000 KGS,https://img5.lalafo.com/i/posters/api/4f/91/39/1-bedroom-24-hour-check-in-98769006_image-1655618506.jpeg
"1 комната, Постельное белье, Кондиционер, Бронь",https://lalafo.kg/bishkek/ads/1-komnata-postelnoe-bele-kondicioner-bron-id-89231355,600 KGS,https://img5.lalafo.com/i/posters/api/20/9b/a4/b77e13247195d9aa44c6642311.jpeg
"1 комната, Душевая кабина, Постельное белье, Кондиционер",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-kondicioner-id-102010400,1 500 KGS,https://img5.lalafo.com/i/posters/api/a9/2f/9c/731d23b2853d16d54eda72e98b.jpeg
"2 комнаты, Душевая кабина, Постельное белье, Кондиционер",https://lalafo.kg/bishkek/ads/2-komnaty-dusevaa-kabina-postelnoe-bele-kondicioner-id-46564941,1 700 KGS,https://img5.lalafo.com/i/posters/api/4a/b0/e1/2-bedroom-shower-cabin-linens-air-conditioning-46564941_image-1651231237074.jpeg
"1 комната, Душевая кабина, Постельное белье, Кондиционер",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-kondicioner-id-61261438,1 500 KGS,https://img5.lalafo.com/i/posters/api/dc/df/21/d4bf3534fc81d713cef08d8ee8.jpeg
"1 комната, Постельное белье, Кондиционер, Бытовая техника",https://lalafo.kg/bishkek/ads/1-komnata-postelnoe-bele-kondicioner-bytovaa-tehnika-id-56211300,1 600 KGS,https://img5.lalafo.com/i/posters/api/b3/28/90/1-bedroom-linens-air-conditioning-appliances-pets-not-allowed-56211300_image-1634537436220.jpeg
"2 комнаты, Круглосуточное заселение",https://lalafo.kg/bishkek/ads/2-komnaty-kruglosutocnoe-zaselenie-id-94359632,2 000 KGS,https://img5.lalafo.com/i/posters/api/6f/c7/f9/901616405af20a60dffaa3fa24.jpeg
"1 комната, Душевая кабина, Постельное белье, Парковка",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-parkovka-id-61419581,1 500 KGS,https://img5.lalafo.com/i/posters/api/c4/2c/70/064e382618cdb344765c65f2cf.jpeg
"1 комната, Кондиционер",https://lalafo.kg/bishkek/ads/1-komnata-kondicioner-id-88097174,Договорная,https://img5.lalafo.com/i/posters/api/94/5b/e8/6c3803f282ed1bf0632139d13f.jpeg
"1 комната, Душевая кабина, Постельное белье, Кондиционер",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-kondicioner-id-87674228,2 200 KGS,https://img5.lalafo.com/i/posters/api/6d/de/6e/5e80579fd7117ec02bc9ec7ef1.jpeg
"1 комната, Круглосуточное заселение",https://lalafo.kg/bishkek/ads/1-komnata-kruglosutocnoe-zaselenie-id-95756107,1 500 KGS,https://img5.lalafo.com/i/posters/api/0c/44/35/5bc2189f9f50a663df5fc4aaef.jpeg
"2 комнаты, Постельное белье, Кондиционер, Парковка",https://lalafo.kg/osh/ads/2-komnaty-postelnoe-bele-kondicioner-parkovka-id-65012269,Договорная,https://img5.lalafo.com/i/posters/api/c1/9b/ae/2-komnaty-postelnoe-bele-parkovka-bron-65012269_image-1653689008.jpeg
"1 комната, Душевая кабина, Постельное белье, Бронь",https://lalafo.kg/bishkek/ads/1-komnata-dusevaa-kabina-postelnoe-bele-bron-id-101223002,1 000 KGS,https://img5.lalafo.com/i/posters/api/36/9d/c2/3da55f3cb82a827128d781a426.jpeg
"1 комната, Душевая кабина, Постельное белье, Бытовая техника",https://lalafo.kg/osh/ads/1-komnata-dusevaa-kabina-postelnoe-bele-bytovaa-tehnika-id-89779461,1 500 KGS,https://img5.lalafo.com/i/posters/api/74/c9/0e/0cdeb184d83b0180ae48d01eac.jpeg
"1 комната, Душевая кабина, Постельное белье, Парковка",https://lalafo.kg/osh/ads/1-komnata-dusevaa-kabina-postelnoe-bele-parkovka-id-48181606,1 500 KGS,https://img5.lalafo.com/i/posters/api/a9/15/ba/89c25142925fca10f58f319416.jpeg
"1 комната, Круглосуточное заселение",https://lalafo.kg/bishkek/ads/1-komnata-kruglosutocnoe-zaselenie-id-76101751,1 700 KGS,https://img5.lalafo.com/i/posters/api/aa/08/36/f82cea01540092f6a57e422654.jpeg
"3 комнаты, Бытовая техника",https://lalafo.kg/dzhalal-abad/ads/3-komnaty-bytovaa-tehnika-id-77430667,Договорная,https://img5.lalafo.com/i/posters/api/53/24/fb/komandirovochnye-kvartiry-v-g-zhalalabat-77430667_image-3.jpeg
"Студия, Постельное белье, Кондиционер, Бронь",https://lalafo.kg/bishkek/ads/studia-postelnoe-bele-kondicioner-bron-id-58669413,1 800 KGS,https://img5.lalafo.com/i/posters/api/a8/69/51/a1356eb863445a98b5f80e892c.jpeg
